gender,count,visits_mean,visits_sd,visits_median,sports_value_mean,sports_value_sd,sports_value_median,removal_days_mean,removal_days_median,removal_days_min,removal_days_max
female,9,2.7777777777777777,1.2018504251546631,3,4.111111111111111,0.927960727138337,4,46.888888888888886,52,12,100
male,18,3.111111111111111,2.138963159732493,2.5,4.111111111111111,1.278274981412284,5,37.611111111111114,24,6,180
