gender,count,age_mean,age_sd,age_median,rating_mean,rating_sd,rating_median,feeling_mean,feeling_sd,feeling_median
female,9,33.333333333333336,13.6106575888162,34,3.5555555555555554,0.8819171036881969,4,1.2222222222222223,0.44095855184409843,1
male,18,26.444444444444443,10.534102726926385,22,3.6666666666666665,0.9074852129730301,4,1.4444444444444444,0.5113099925649136,1
